name,matched_name,score,image_url
SONA MEAT MASALA 48,Sea Moss Gummies,22.857142857142854,https://images.openfoodfacts.org/images/products/invalid/front_en.34.400.jpg
200 MANGO PICKLE,Whey Protein 2000g,29.411764705882348,https://images.openfoodfacts.org/images/products/invalid/front_de.14.400.jpg
200 MIX PICKLE,Whey Protein 2000g,31.25,https://images.openfoodfacts.org/images/products/invalid/front_de.14.400.jpg
2KG RIDDHI SIDDHI RICE,Collagen For Her,21.052631578947366,https://images.openfoodfacts.org/images/products/invalid/front_en.31.400.jpg
3D PAPAD,30 Panach' Fruits,24.0,https://images.openfoodfacts.org/images/products/invalid/front_fr.16.400.jpg
400 MANGO PICKLE,30 Panach' Fruits,24.242424242424242,https://images.openfoodfacts.org/images/products/invalid/front_fr.16.400.jpg
7 IN OIL 100ML MRP 75,scourban Plus 100 ml,29.268292682926834,https://images.openfoodfacts.org/images/products/invalid/front_en.4.400.jpg
7 IN OIL 200ML,Whey Protein 2000g,31.25,https://images.openfoodfacts.org/images/products/invalid/front_de.14.400.jpg
777 NAPHTHALENE BALL,BP-ER,24.0,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AAHRAM RED RICE 26KG,Sea Moss Gummies,22.22222222222222,https://images.openfoodfacts.org/images/products/invalid/front_en.34.400.jpg
ADULT DIPER SIZE L,BP-ER,26.086956521739136,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
ADULT DIPER SIZE M,BP-ER,26.086956521739136,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AGNI SAMBRANI,BP-ER,22.22222222222222,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AHRAM GREEN RICE 26KG,Sea Moss Gummies,21.62162162162162,https://images.openfoodfacts.org/images/products/invalid/front_en.34.400.jpg
AJANTA BAKING POWDER 100GM,scourban Plus 100 ml,26.086956521739136,https://images.openfoodfacts.org/images/products/invalid/front_en.4.400.jpg
ALMOND 50GM,Men's Multi,27.27272727272727,https://images.openfoodfacts.org/images/products/invalid/front_en.15.400.jpg
ALMOND CORN 168G MRP 99,Sea Moss Gummies,20.512820512820518,https://images.openfoodfacts.org/images/products/invalid/front_en.34.400.jpg
ALMONDBAR CHOCOLATE 35GM MRP 35,Hydrolyzed Bone Broth Protein Double Chocolate,18.181818181818176,https://images.openfoodfacts.org/images/products/invalid/front_en.21.400.jpg
ALOEVERA GEL 150ML,scourban Plus 100 ml,21.052631578947366,https://images.openfoodfacts.org/images/products/invalid/front_en.4.400.jpg
ALOEVERA SHOP 150GM,Sea Moss Gummies,22.857142857142854,https://images.openfoodfacts.org/images/products/invalid/front_en.34.400.jpg
ALPINE TEA 250GM,Whey Protein 2000g,29.411764705882348,https://images.openfoodfacts.org/images/products/invalid/front_de.14.400.jpg
ALTO LOCK,Mre Lite,23.529411764705888,https://images.openfoodfacts.org/images/products/invalid/front_en.16.400.jpg
AMBPR AIR EJ MRP 299,BP-ER,31.999999999999996,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AMBPR AIR LB MRP 299,BP-ER,24.0,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AMBPR AIR R&B MRP 299,BP-ER,23.076923076923073,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AMBPR AIR SB MRP 299,BP-ER,24.0,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AMLA H OIL 45ML MRP20,Mre Lite,20.68965517241379,https://images.openfoodfacts.org/images/products/invalid/front_en.16.400.jpg
AMUL ALPHONSO MANGO MRP20,Pur jus de pomme,19.512195121951216,https://images.openfoodfacts.org/images/products/invalid/front_fr.9.400.jpg
AMUL AMERICAN 25ML,Mre Lite,23.076923076923073,https://images.openfoodfacts.org/images/products/invalid/front_en.16.400.jpg
AMUL BUTTER COOCKIES,BP-ER,24.0,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AMUL BUTTER MRP 60,BP-ER,26.086956521739136,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AMUL BUTTERSCOTCH GOLD MRP260,Anthony's Organic Cocoa Butter Chunks,21.212121212121215,https://images.openfoodfacts.org/images/products/invalid/front_en.23.400.jpg
AMUL CHOCO COOCKIES,Anthony's Organic Cocoa Butter Chunks,21.42857142857143,https://images.openfoodfacts.org/images/products/invalid/front_en.23.400.jpg
AMUL FRESH CREAM 1LTR,Collagen For Her,21.62162162162162,https://images.openfoodfacts.org/images/products/invalid/front_en.31.400.jpg
AMUL GOLD 500ML,Mre Lite,26.086956521739136,https://images.openfoodfacts.org/images/products/invalid/front_en.16.400.jpg
AMUL IC CUP AFGHAN DRY FRUITS 100ML,scourban Plus 100 ml,25.454545454545453,https://images.openfoodfacts.org/images/products/invalid/front_en.4.400.jpg
AMUL IC CUP STRAWBERRY,BP-ER,22.22222222222222,https://images.openfoodfacts.org/images/products/invalid/front_en.27.400.jpg
AMUL IC JUMBO CUP COOKIE N CR 125ML,Anthony's Organic Cocoa Butter Chunks,22.22222222222222,https://images.openfoodfacts.org/images/products/invalid/front_en.23.400.jpg
AMUL IC STK KM MANGO DUETZ 60ML,Anthony's Organic Cocoa Butter Chunks,20.588235294117652,https://images.openfoodfacts.org/images/products/invalid/front_en.23.400.jpg
AMUL LASSI 250ML,Sea Moss Gummies,25.0,https://images.openfoodfacts.org/images/products/invalid/front_en.34.400.jpg
AMUL MITHAI MATE 200GM,Whey Protein 2000g,25.0,https://images.openfoodfacts.org/images/products/invalid/front_de.14.400.jpg
AMUL PEANUT BUTTER 300GM,30 Panach' Fruits,24.390243902439025,https://images.openfoodfacts.org/images/products/invalid/front_fr.16.400.jpg
