Product Name,images
 SONA MEAT MASALA 48,['https://via.placeholder.com/400x400?text=No+Image']
2KG RIDDHI SIDDHI RICE,['https://via.placeholder.com/400x400?text=No+Image']
777 NAPHTHALENE BALL,['https://via.placeholder.com/400x400?text=No+Image']
AAHRAM RED RICE 26KG,['https://via.placeholder.com/400x400?text=No+Image']
AGNI SAMBRANI,['https://via.placeholder.com/400x400?text=No+Image']
AHRAM GREEN RICE 26KG,['https://via.placeholder.com/400x400?text=No+Image']
AJANTA BAKING POWDER 100GM,['https://via.placeholder.com/400x400?text=No+Image']
ALMOND CORN 168G MRP 99,['https://via.placeholder.com/400x400?text=No+Image']
ALMONDBAR CHOCOLATE 35GM MRP 35,['https://via.placeholder.com/400x400?text=No+Image']
ALOEVERA SHOP 150GM,['https://via.placeholder.com/400x400?text=No+Image']
ALPINE TEA 250GM,['https://via.placeholder.com/400x400?text=No+Image']
AMBPR AIR EJ MRP 299,['https://via.placeholder.com/400x400?text=No+Image']
AMBPR AIR LB MRP 299,['https://via.placeholder.com/400x400?text=No+Image']
AMBPR AIR R&B MRP 299,['https://via.placeholder.com/400x400?text=No+Image']
AMBPR AIR SB MRP 299,['https://via.placeholder.com/400x400?text=No+Image']
AMLA H OIL 45ML MRP20,['https://via.placeholder.com/400x400?text=No+Image']
AMUL ALPHONSO MANGO MRP20,['https://via.placeholder.com/400x400?text=No+Image']
AMUL AMERICAN 25ML,['https://via.placeholder.com/400x400?text=No+Image']
AMUL BUTTER MRP 60,['https://via.placeholder.com/400x400?text=No+Image']
AMUL BUTTERSCOTCH GOLD MRP260,['https://via.placeholder.com/400x400?text=No+Image']
AMUL GOLD 500ML,['https://via.placeholder.com/400x400?text=No+Image']
AMUL IC CUP AFGHAN DRY FRUITS 100ML,['https://via.placeholder.com/400x400?text=No+Image']
AMUL IC JUMBO CUP COOKIE N CR 125ML,['https://via.placeholder.com/400x400?text=No+Image']
AMUL IC STK KM MANGO DUETZ 60ML,['https://via.placeholder.com/400x400?text=No+Image']
AMUL LASSI 250ML,['https://via.placeholder.com/400x400?text=No+Image']
AMUL MITHAI MATE 200GM,['https://via.placeholder.com/400x400?text=No+Image']
AMUL PEANUT BUTTER 300GM,['https://via.placeholder.com/400x400?text=No+Image']
AMUL PROB CHOCOBAR 30ML,['https://via.placeholder.com/400x400?text=No+Image']
AMUL SPRAY 200G,['https://via.placeholder.com/400x400?text=No+Image']
AMUL VANILAMAGIC MRP195,['https://via.placeholder.com/400x400?text=No+Image']
AMUL VANILLA 55ML RS10,['https://via.placeholder.com/400x400?text=No+Image']
ANANNYA MURI,['https://via.placeholder.com/400x400?text=No+Image']
ANARKALI KISHMISH 500GM,['https://via.placeholder.com/400x400?text=No+Image']
ANNAPURNA 50ML MRP 46,['https://via.placeholder.com/400x400?text=No+Image']
ANNAPURNA GHEE 1LTR,['https://via.placeholder.com/400x400?text=No+Image']
ANNAPURNA GHEE 500ML MRP 418,['https://via.placeholder.com/400x400?text=No+Image']
ANNAPURNA MIXED FRUIT JAM 100GM,['https://via.placeholder.com/400x400?text=No+Image']
ANNAPURNA ORNG SQUACE,['https://via.placeholder.com/400x400?text=No+Image']
ANUPAM MUSTURD OIL 1LTR,['https://via.placeholder.com/400x400?text=No+Image']
APPALAM PAPAD,['https://via.placeholder.com/400x400?text=No+Image']
APPUJEE ATTA 5 KG,['https://via.placeholder.com/400x400?text=No+Image']
APPUJEE SOOJI 250GM,['https://via.placeholder.com/400x400?text=No+Image']
APSARA BIG ERASER,['https://via.placeholder.com/400x400?text=No+Image']
APSARA SMALL ERASER,['https://via.placeholder.com/400x400?text=No+Image']
APUJI ATTA,['https://via.placeholder.com/400x400?text=No+Image']
ARHAM RICE 26KG,['https://via.placeholder.com/400x400?text=No+Image']
ARHAM RICE 2KG,['https://via.placeholder.com/400x400?text=No+Image']
ARIEL LIQ1L POUCH FL A MRP 199,['https://via.placeholder.com/400x400?text=No+Image']
ARIEL PERFECTWASH MRP10,['https://via.placeholder.com/400x400?text=No+Image']
ARIEL PW BLUE 1G MRP 130,['https://via.placeholder.com/400x400?text=No+Image']
ARIEL PW BLUE 500G MRP 65,['https://via.placeholder.com/400x400?text=No+Image']
AROMA COW GHEE 100ML MRP 85,['https://via.placeholder.com/400x400?text=No+Image']
ASHIRBAAD AATA. 5KG,['https://via.placeholder.com/400x400?text=No+Image']
ASHIRVAAD ATA 2KG MRP117,['https://via.placeholder.com/400x400?text=No+Image']
ASHIRVAAD ATTA 1KG,['https://via.placeholder.com/400x400?text=No+Image']
ASHIRVAAD WHITE ATTA 1KG,['https://via.placeholder.com/400x400?text=No+Image']
AYNA DETERGENT POWDER 400GM,['https://via.placeholder.com/400x400?text=No+Image']
BABY CREAM 100G MRP.190,['https://via.placeholder.com/400x400?text=No+Image']
BABY CREAM 100ML MRP200,['https://via.placeholder.com/400x400?text=No+Image']
BABY CREAM 200G MRP.400,['https://via.placeholder.com/400x400?text=No+Image']
BABY CREAM 200ML MRP310,['https://via.placeholder.com/400x400?text=No+Image']
BABY CREAM 30G MRP.65,['https://via.placeholder.com/400x400?text=No+Image']
BABY GIFT SET 7'S MRP690,['https://via.placeholder.com/400x400?text=No+Image']
BABY GIFT SET S'3 MRP190,['https://via.placeholder.com/400x400?text=No+Image']
BABY H OIL 100ML MRP160,['https://via.placeholder.com/400x400?text=No+Image']
BABY H OIL 200ML MRP275,['https://via.placeholder.com/400x400?text=No+Image']
BABY LOTION 100ML MRP115,['https://via.placeholder.com/400x400?text=No+Image']
BABY LOTION 200ML MRP210,['https://via.placeholder.com/400x400?text=No+Image']
BABY M OIL 100ML MRP140,['https://via.placeholder.com/400x400?text=No+Image']
BABY OIL 200 ML MRP250,['https://via.placeholder.com/400x400?text=No+Image']
BABY POWDER 50GM MRP60,['https://via.placeholder.com/400x400?text=No+Image']
BABY SHAMPOO 200ML MRP220,['https://via.placeholder.com/400x400?text=No+Image']
BABY SISHU WIPES 72'S MRP99,['https://via.placeholder.com/400x400?text=No+Image']
BABY WASH 100ML MRP115,['https://via.placeholder.com/400x400?text=No+Image']
BABY WASH 200ML MRP200,['https://via.placeholder.com/400x400?text=No+Image']
BABY WIPES 72'S MRP200,['https://via.placeholder.com/400x400?text=No+Image']
BADAAM 500G,['https://via.placeholder.com/400x400?text=No+Image']
BADAM 70GM,['https://via.placeholder.com/400x400?text=No+Image']
BAJAJ ALMOND HAIR OIL 114ML,['https://via.placeholder.com/400x400?text=No+Image']
BAJAJ ALMOND HAIR OIL 190ML,['https://via.placeholder.com/400x400?text=No+Image']
BAJAJ ALMOND HAIR OIL 285ML,['https://via.placeholder.com/400x400?text=No+Image']
BAJAJ ALMOND HAIR OIL 475ML,['https://via.placeholder.com/400x400?text=No+Image']
BAJAJ ALMOND HAIR OIL 49.5ML,['https://via.placeholder.com/400x400?text=No+Image']
BAJAJ COCUNUT OIL 175ML,['https://via.placeholder.com/400x400?text=No+Image']
BAKERY BISCUIT MRP110,['https://via.placeholder.com/400x400?text=No+Image']
BAKERY BISCUIT MRP60,['https://via.placeholder.com/400x400?text=No+Image']
BARTHROOM 250ML MRP61,['https://via.placeholder.com/400x400?text=No+Image']
BASUNDI 250ML,['https://via.placeholder.com/400x400?text=No+Image']
BATH TISSUES MRP30,['https://via.placeholder.com/400x400?text=No+Image']
BATHROOM 500ML MRP115,['https://via.placeholder.com/400x400?text=No+Image']
BHARAT VASI AGARBATTI,['https://via.placeholder.com/400x400?text=No+Image']
BHOGALI JALPAN BASEN 500GM,['https://via.placeholder.com/400x400?text=No+Image']
BHOOT JOLOKIA ACHR,['https://via.placeholder.com/400x400?text=No+Image']
BIEACHING POWDER BENGAL 500G,['https://via.placeholder.com/400x400?text=No+Image']
BIG DISPOSABLE BATTI,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI ALOO BHUJIA 200GM MRP 62,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI BAAT CHEET 250GM,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI BHUJIA 200GM MRP 62,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI BHUJIA MRP62,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI KUCH KUCH MRP 62,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI MOONG DALL 200GM MRP 62,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI PANEER BHUIJA 175GM,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI RUSK TOAST MRP10,['https://via.placeholder.com/400x400?text=No+Image']
BIKAJI TANA BANA 200GM MRP62,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS ECON LG MRP 199,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS ECONS MD MRP 199,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS ECONS SM MRP 199,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS ECONS XXL MRP 299,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS JUMBO NEW L MRP 699,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS JUMBO NEW MD MRP 699,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS JUMBO NEW SM MRP 699,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS JUMBO NEW XL MRP 699,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS JUMBO NEW XLL MRP 699,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS REGS MD MRP 99,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS REGS NB MRP 99,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS REGS SM MRP 99,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS REGS XL MRP 159,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS SUPAR SAVER SM MRP 999,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS VALUE LG MRP 399,['https://via.placeholder.com/400x400?text=No+Image']
BLUE PANTS VALUE MD MRP399,['https://via.placeholder.com/400x400?text=No+Image']
BNT KASISMIS 30 GM,['https://via.placeholder.com/400x400?text=No+Image']
BODY P.C BLEU 120ML MRP275,['https://via.placeholder.com/400x400?text=No+Image']
BODY P.C CHROME 120ML MRP275,['https://via.placeholder.com/400x400?text=No+Image']
BODY P.C COPPER 120ML MRP275,['https://via.placeholder.com/400x400?text=No+Image']
BODY PERFUME CODE BLANC 120ML MRP275,['https://via.placeholder.com/400x400?text=No+Image']
BOHAGI NIMBU MRP10,['https://via.placeholder.com/400x400?text=No+Image']
BOHAGI NIMBU MRP20,['https://via.placeholder.com/400x400?text=No+Image']
BONGOL JOHA 2KG,['https://via.placeholder.com/400x400?text=No+Image']
BOURN VITA 200GM,['https://via.placeholder.com/400x400?text=No+Image']
BOURN VITA 500GM,['https://via.placeholder.com/400x400?text=No+Image']
BP INTENSE COMBO OCN+A 120ML MRP249,['https://via.placeholder.com/400x400?text=No+Image']
BP NEON 120ML MRP210,['https://via.placeholder.com/400x400?text=No+Image']
BP STORM 120ML MRP225,['https://via.placeholder.com/400x400?text=No+Image']
BRETENIA CAKE 120G MRP 30,['https://via.placeholder.com/400x400?text=No+Image']
BRITANNIA BOURBON 150GM,['https://via.placeholder.com/400x400?text=No+Image']
BRITANNIA GOL MAAL 185GM,['https://via.placeholder.com/400x400?text=No+Image']
BRITANNIA GOL MAAL BUTTER GARLIC,['https://via.placeholder.com/400x400?text=No+Image']
BRITANNIA GOOD DAY BUTTER JEERA,['https://via.placeholder.com/400x400?text=No+Image']
BRITANNIA GOOD DAY CASHEW ALMOND,['https://via.placeholder.com/400x400?text=No+Image']
BRITANNIA TOASTEA 200GM,['https://via.placeholder.com/400x400?text=No+Image']
BRITE SCRUB PAD MRP22,['https://via.placeholder.com/400x400?text=No+Image']
BROWN & PLOSON CORN FLOUR 100G,['https://via.placeholder.com/400x400?text=No+Image']
BRU PURE COFFEE 25G,['https://via.placeholder.com/400x400?text=No+Image']
BUNTY BABLI KISMIS 500GM,['https://via.placeholder.com/400x400?text=No+Image']
BUTTER BRED RUSKIT 180+20G 24]MRP 40,['https://via.placeholder.com/400x400?text=No+Image']
BUTTER SCOTCH CUP MRP20,['https://via.placeholder.com/400x400?text=No+Image']
CAC HAIR OIL 150ML,['https://via.placeholder.com/400x400?text=No+Image']
CADBURY CELEBRATIONS MRP110,['https://via.placeholder.com/400x400?text=No+Image']
CAKE RUSK 100GM 30] MRP 40,['https://via.placeholder.com/400x400?text=No+Image']
